NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
NCR-25336,"PO : 04M001705  Material part : 40689-8234, 40689-8235, 40689-8236  Material Description : 88.9 OD x 11 Thk x 90 DEG x R114 dp=73.5 MATERIAL : EN 10253-4  NiCr 21 Mo [2.4858], 114.3 OD x 8.8 Thk x 90 DEG x R152 dp=97 MATERIAL : EN 10253-4  NiCr 21 Mo [2.4858], 114.3 OD x 8.8 Thk x 45 DEG x R152 dp=97 MATERIAL : EN 10253-4  NiCr 21 Mo [2.4858]  Requirement : Forged fittings DP value required 73.5mm, 97.0mm as per PO requirement.  Deviation : Material received without machining of DP value.  Objective Evidence : Dimension Report.",Incoming Inspection,Gasifier,Minor,Closed,Yes,1. EP from the inside needs to be machined for SRL No 1 (10nos). Required 73.5 vs actual 66.8mm  2. Design accepted SRL NO 2 (104Nos) deviation. Required 97mm vs actual 96.4mm  3. Design accepted SRL NO 3 (03Nos) deviation. Required 97mm vs actual 96.4mm.,Vendor,Vendor did not follow DP value mentioned in PO description and devised their own formula to calculate DP value. ,Vendor Mistake,1.Supplier has been informed to take any deviation in advance and adhere to specific requirements mentioned in PO description ,Workman,Repair (Rectify Partially),No,1. The DP value will have to be met by machining.  2. & 3. Acceptable as it is.,1. Accepted after  machining. ,NULL,2022-03-03,2022-03-11,2022-03-12,2022-03-12,No,NULL,NULL,862,1008
S040730-NCR-001,"Noz N1 (40730-8111)  During hub OD machining at supplier place, Nozzle N1 forging is scratched due to machining tool breakdown. Scratch depth is varying from 0 mm to 2.5 mm and covers around 25% of circumferential area. Refer attachment-1 for scratch location & detail.",NULL,Other,Minor,Closed,No,Accept as it is   Follow Design comments ,Vendor,Machine tool break down ,Vendor Mistake,Refer attached RCA / CAPA,Management,Repair (Rectify Partially),Yes,Scratch mark can be removed by machining of HUB OD from 1166 mm to 1161 mm. Design calculation is performed with reduce HUB OD (1161 mm) & found acceptable with minor modification in LIP thickness.   Kindly refer attached supporting documents for modified design.  (1) Sketch “LTHE-0730-SKT-016_R1 for modified design of Nozzle N1 hub.  (2) Attachment-2 for Design calculation with modified design.,Rectification carried out as per Design Comment.,NULL,2022-03-04,2022-03-23,2022-09-02,2022-03-24,No,NULL,NULL,721,929
NCR-25338,Item - Dipleg pipe (4 Nos)    Stage - Dimension inspection    Requirement - Opening of part no.3109(Pipe no. 5) shall be at  required at 100.57°    Observation- Opening of part no.3109(Pipe no. 5) observed at 190.57°,Dimension inspection of the Dip leg pipe assembly-4 Numbers.,Other,Minor,Closed,Yes,"1. Existing 4 nos. of pipes to be cut from the seam no-3112 as shown below and part no 3105 & 3109 shall be scrapped.  2. From the cut circ seam, Refractory along with Hexmesh to be removed ~25mm from the circ seam  3.New components to be fabricated (Part no. 3105R &  3109R)  4. New Hexmesh & refractory to be installed & welded in newly prepared components (3105R & 3109R)  5. Subsequently circ. seam to be welded between Part No. 3104, 3105R & 3109R (Seam no. NP3112R & NP3115R) – Refer Fig.3",Workmanship,#NAME?,Dimension Control Fabrication,"1. Awareness session on drawing study to be done for all vendor. For such items, 3D drawings to be shown in the drg.  2. Critical drawing review between L&T shop supervisor & contract shall be established before job execution & during PO placement.",Workman,Reject,No,Proposed rectification to meet drawing requirement is acceptable,Rectified as proposed and found acceptable,NULL,2022-12-28,2023-01-17,2023-01-24,2023-01-19,No,NULL,NULL,746,811
NCR-25339,"1. Requirement : Drilled Hole position of Ø57 mm shall be on Center of Reference circle      Deviation : Hole Positions w.r.t reference circle is shifted by 12.8 mm Max.      Evidence : Refer report no, JTS/02L010042/06, Dtd. 24.04.2021    2. Requirement : Material require for Item No.: 2107 as per BOM of Drawing No.: NU-ES-0016-00-2103, R4 is SA 516 Grade 70       Deviation : Item No.: 2107 was identified as EN 24 as BOM of Drawing No.: NU-ES-0016-00-2103, R3, after identification material is changed to SA 516 Gr. 70 during drawing revision R4.      Evidence : Refer MCR No.: ES-506/MI/270/01, Dated. 01.12.2020  ",NULL,Plate,Minor,Closed,No,A) Deviated Item to be rejected and new item to be made.   B) Earlier item identified from EN-24 to be kept a side/used in other requirement and new item from revised material to be identified & manufactured as per approved drawing.,Execution,? Case – 1  • A) All axis levelling not written in process card   • B) Operator used wrong programme i.e. he did not verify programme on machine with co-ordinates written in logbook.  ? Case - 2  • Drawing material was not feasible for complete requirement of item  ,Vendor Mistake,"? Case – 1  • A) All axis levelling to be written in process card and followed   • B) Operator sensitized and further machining done as per requirement.  ? Case - 2  • In case, new item / manufacturing activity is introduced in project, it must be discussed, and opinion must be taken from experienced person in that field (In this case, metallurgy / vendor being heat treatment process) at the start of the project.  Also, whoever is asking for change in material need to inform design to include the comment in L&T ECR that material is already identified / manufactured and will be rejected. With this, No NCR will be required.",Management,Reject,No,1. Item rejected. New item to be manufactured meeting drawing requirement.    2. Item with material grade EN24 to be kept aside. New item with material grade SA 516 Gr. 70 to be supplied.,New item is identified.,NULL,2022-03-07,2022-03-19,2022-03-31,2022-03-20,No,NULL,NULL,120,146
NCR-25341,"It. No.: 32056/23-27 & 32057/23-27  Requirement :   Slot depth : 40 mm as per Drawing No.: NU-SG-0014-32-001C R1.  Observation : Actual dimension found 50 - 52 mm.  Objective evidence: 32056/50/DE/01, dtd.13.05.2021 & 32057/50/DE/01, dtd. 13.05.2021",NULL,Other,Major,Closed,No,New Items to be made.,Vendor,"- Misinterpretation of drawing by wire cut machine operator while making slot & wrong reference given in input for slot depth in program input to wire cut machine.    - Operator took slot depth form tapper location (Start Location of slot) which is given for IT-32032 & 32033 & had completed just before slot machining of IT-32056 & 32057. Similar input for slot depth was given for IT-32056 & 32057 (from taper portion) however as per drawing of these item, slot depth was asked from straight location.  - AS only slot machining was done on wire cut hence manual program was given in machine by operator itself.   ",Vendor Mistake,IT-32056/23-27 and 32057/23-27 shall be rejected & New Items shall be made.  ,Management,Reject,No,Rejection Proposal by Responsible department is acceptable.,"New items (32056 & 32057) identified against rejected items. Refer report no. 32056 / MI / 20 / 05, dated 04.06.2021 and 32057 / MI / 20 / 04, dated 04.06.2021.",Yes,2022-03-08,2022-03-16,2022-05-03,2022-04-06,No,NULL,NULL,355,453
NCR-25342,"Project Nos.: S020014 A-D  Ref. LTFPS: 7246 R1  Item: Grade S355 J0+N Plates, Plate No. 25832.1  Quantity: 1  L&T PO No: 02M000141    Requirements:   As per Clause No: 6 of L&T Specification NU-SG-0014-MAT-007, R03 requirements are as follows.  1. Thickness for plate no. 25832.1 is 100 mm (-0.3, +2.9).  2. Maximum permissible depth of imperfections is 0.7 mm (EN 10163-2:2004)    Observations:   During final dimension & visual inspection as per LTFPS 7246 OPN 40 & 50 the following deviations are observed.  1. Thickness observed @local area (90 mm x 60 mm) is 99.5 mm.  2. Visually found depression having depth 3 mm max. (Refer attached report for sketch/area)    Evidence:  1. Report No. 7246/40 & 50/VE & DE/01 dated.03.05.2021  2. CMTR No. 25832.1 Page 8/16  and NC No. 20-04 R0.    NOTE:- This plate was brought as a stockiest due to COVID pandemic. Above deviation was reported by M/s. Industeel in CMTR and accepted by L&T Design.",Receiving,Plate,Minor,Closed,No,NULL,Materials,NCR-25342,Base Material Defect,Feedback given to miill and acknowledgement taken for improvement,Management,Regrade (Accept Conditionally),No,The deviation in thickness and depression is accepted as it is provided the under thickness /depression area is not used for manufacturing of Part No. 45001. ,"The deviation in thickness and depression is accepted as it is.  It is ensured that the under thickness /depression area is not used for manufacturing of Part No. 45001.   Refer PCL no. PCL02000338390, Rev. 0",NULL,2022-03-12,2022-03-12,2022-09-05,2022-03-12,No,NULL,NULL,319,335
S020014B-NCR-021,"Project No. S020014B/SA36  Item No. 36S02 # 13002 (Support structure # Torispherical head)  Stage: Visual examination of Seam No. CW36S17A after welding, Opn. No. 3890 of LTFPS No. 3601, R4.  Requirement: Ferritic buttering for Seam No. BW1329 shall not be ground along with Seam No. CW36S17A.  Observation: Ferritic buttering has been ground in length of 215 mm.  Objective evidence: Report No.: 3601/3890/DE/01, Dtd. 14.05.2021.  ",NULL,Nuclear,Minor,Closed,No,"1.Accept as it is.  2.Smoothly merged the support structure weld  radius with adjacent base material followed by LPE,UT",Other,1. Grinder Ramesh patel has neither referred drawing nor asked supervisor about grinding requirement.  2. Ramesh has been working with HFS1 from last 5 years & his basic skill set is gouger/grinder and most of the time he is allocated gouging/ grinding work of such kind of attachments [Please refer findings in attached RCA for  details.]  3.Hence is is  clearly coming out  that this is a casual approach from Ramesh due to having complacency of such vast grinding experience.,Others,"1. Awareness session to be conducted indicating various type of grinding & their requirements with all workmen of HFS1 & PC4 Team.  2. WIS shall be made for ""Activities to be performed after PWHT & Hydrotest"" indicating all precautions to be exercised.  ",Workman,Accept as it is,Yes,"1. Maintain dimension R30±3 in the affected portion [between weld CW36S17A & BW1329 with Torispherical Head (Part no. 13002)]  2. At the ends, the ground area (with deviation) shall be long merged with adjacent area  3. where excess grinding of ferritic buttering is carried out: Perform LPE of base metal and thickness measurement to ensure drawing requirements are met","1) As per Designer's ruling, all additional checks were performed and found satisfactory. Refer inspection report no. 3601-3900-LPE-01 dated 19.05.2021 for details.  2) Deviation covered under NPCIL-NCR no. C02180002-NCR-111.",NULL,2022-03-10,2022-03-17,2022-03-21,2022-03-21,NULL,NULL,NULL,78,80
NCR-25344,"Project No.:20172  Item No.:60102406C2,60102406C3,60102406C4,60102406C6,60102406C8 & 60106901C  Stage: Setup of sub assembly  Place: M/s. Pinnacle, 1403 Annex  Observation: WEP LPE cleared item missing from shop  ",NULL,Nuclear,Minor,Closed,Yes,"New parts will be identified with suffix ""R"" and offer to NPCIL foe stamping.",Workmanship,NCR NO. 25334,Others,"Area will be defined for nuclear components. Display will be prepared and placed for warning sign (Gujrati, Hindi & English). Annex will ensure the parts should be at defined places. to bring more  control, segregation parts as per drawing.",Workman,Reject,No,"Lost items are rejected. New parts will be identified with suffix ""R"" to part nos.","New parts identified with suffix ""R"" and stamping done from NPCIL. ",NULL,2022-03-10,2022-04-12,2022-05-04,2022-05-03,No,NULL,NULL,71,72
NCR-25345,"Requirement :- RHS Channel Shell girth flange  P.C.D .  3762mm (tol.+0.8/-0.8) as per document no. 21921PSF1 Rev. issue 6  Actual observation :- After all fabrication work , RHS Channel Shell girth flange P.C.D observed  (3754mm-3770mm),   ",NULL,Exchanger,Minor,Closed,No,Rectification following guide-lines from planning to be followed and orality need to be corrected to achieve dimensions for machining  feasibility.,Other,(1) Necessary precautions for distortion control neither envisaged nor exercised during fabrication.  (2) Intermittent checking and monitoring not done during fabrication ( especially partition plate welding and assembly).,Dimension Control Fabrication,(1) Distortion control shall be achieved by following planning procedure.  (2) Channel Flange shall be planned with a provision of extra machining allowances on OD and final bolt hole  size shall be drilled in final assembly stage of the channel.,Management,Repair (Rectify Partially),No,Rectification proposal for controlling dimensions for machining feasibility as per attached planning procedure is acceptable. The Flange PCD shall be maintained within tolerance as per drawing after final machining.,Rectification done as per design comments.Dimension  verified after rectification.Found satisfactory. ,NULL,2022-03-11,2022-04-26,2022-05-10,2022-05-09,No,NULL,NULL,981,1005
NCR-25346,Requirement: Identified and correct material to be used for temporary clit   Deviation: (1) Without QC identification temporary clit welded directly on Job.                    (2) Carbon steel clit welded directly on header pipe base material instead of 1.7335,NULL,Gasifier,Major,Closed,Yes,Remove the cleat and Check PMI & PT local area,Workmanship,Fitter was allocated work without completion of induction training by Supervisor.  ,Temporary Attachment,1  1) Training and awareness session arranged for Cleat material.  2) Work will be allocated to fitter only after completion of induction training.  ,Workman,Repair (Rectify Partially),No,Follow Corrective action and the Welding Comments,Rectification verified and found ok ,Yes,2022-03-11,2022-03-17,2023-03-04,2022-04-19,No,NULL,NULL,630,942
NCR-25347,"Project No. S020014A-D (SA-44)  Sub-Assembly: North South Snubber Assembly for NS1  Stage: Dimensional inspection in free condition after welding (Before machining).    Requirement:  Centre distance between It. No. 44003 # 44003:  1) Along the length: 2200 (+/-3) mm  2) Along the width: 1300 (+/-3) mm    Observation:  Centre distance measured and found as below:  1) Along the length: 2181 - 2207 mm  2) Along the width: 1293 - 1301 mm    Objective evidence: Refer inspection report no. 4402/NS1/DE/01, Dated 06.05.2021.  ",NULL,Structural,Major,Closed,Yes,"In order to correct the structure to achieve required tolerance & in line with learning of NS-2 manufacturing, few weld seam are to be ground & re-welding to be done as followed.  1. Remove gusset IT-44036 & IT-44038. (S-AW4447A1-H1 & AW4448A1-H1)  2. Seam S-AW4439A1-B1 to be partially cut and re weld to control/improve dimensions     followed by C/W LPE.  3. IT-44036 & IT-44038 shall be cut to suite with IT-44014 & IT-44002 followed by DE & Weld area LPE.  4. Set up & welding of IT-44036 & IT-44038 for S- AW4447A1-H1 & AW4448A1-H1 followed by root LPE & C/W LPE.  5. Seam S-AW4437A1-B1 to be partially cut and re weld to control/improve dimensions followed by C/W LPE.    ",Welding,"• In NS 1, welding of Main Bracket # Cross Bracket and Cross Bracket # Pipe & Pipe # Bottom Plate was performed in locked condition to achieve bottom plate flatness & centre to centre dimension of 2200 +/-3 mm and 1300 +/-3 mm.   • After completion of welding and removal of locking arrangement, distortion observed and bottom plates centre to centre dimension (2200mm & 1300mm) values were deviated.   This can be attributed to:  1. Release of stresses in welding of Cross Bracket to Main Bracket.  2. Release of stresses in welding of Pipe to Main Bracket.  Welding of Cross bracket#main bracket & Pipe assembly was done in locked condition & after removal of locking arrangement, Distortion took place in bottom plate which was not predicted.",Dimension Control Fabrication,"- For NS 2 to NS 4 (Tag B to D), we have planned to carry out welding of Main Bracket # Cross Bracket in free condition with monitoring of flatness and centre dimensions. Similar free condition welding and monitoring will be done for Pipe # Cross Bracket welding.",Management,Rework (Complete Rectification),No,"1. Proposed rectification is acceptable.  2. Rectification shall be performed as per approved LTFPS.  3. After rectification, all drawing requirements shall be met.","Post rectification of NS-1 assembly as per LTFPS-7268 (Rev.1), dimensional examination of NS-1 assembly has been carried out and found satisfactory. Refer attached DE report no. 7268/240/DE/01 dated 28.08.2021.",Yes,2022-03-22,2022-04-02,2022-04-04,2022-04-02,No,NULL,NULL,1391,1609
S020014D-NCR-006,Project no. S020014D/13    Inspection stage: Assembly of Tori. Head # SON # Extension pipe (Item no. 13002 # 13003 # 13027) after machining    Deviation: Thickness of Extension Pipe (Item no. 13027) measured as 23.02 to 23.82 mm at open end against the requirement of 23.8 (Tol. ±0.2) mm.    Objective Evidence: Refer inspection report no. 1303/580/DE/01 dated 15.05.2021 for details.  ,NULL,Steam Generator,Major,Closed,No,To be accepted as it is ,Execution,1.) Insufficient machining allowance on OD of Extension pipe in combination of weld distortion led to reduction in thickness during machining,Dimension Control Fabrication,"For future projects, extension pipe shall be procured in semi-finished condition (i.e with excess material on OD and ID)",Management,Accept as it is,Yes,The achieved thickness of 23.02 mm (minimum) is acceptable as it is.,Deviation regularised through NPCIL NCR No. C02180002-NCR-110.,Yes,2022-03-31,2022-03-31,2022-09-06,2022-05-03,No,NULL,NULL,85,141
NCR-25351,Item: LWN RF flanges    Item Id - Qty  1) 40629-5212 – 1 No.   2) 40629-5214 – 9 Nos.   3) 40629-5215 – 2 Nos.    Requirement: Cleared flanges (as per below) shall be available at store    Observation: Cleared Flanges are not available in store    ,Before identification,Exchanger,Major,Closed,No,New flange to be procured,Other,1. No Designate area for storage of forging and other small parts.  2. No surveillance. Limited controls with store.,Others,"1. Area to be identified with lock and key arrangement for small size items.  2. CCTV coverage to be ensure on storage area,  3. Loss of material reported to security dept.",Management,Reject,No,Required Flanges to be procure as per latest ARM and CSR ,New flanges checked and found OK,Yes,2022-03-15,2022-04-14,2022-04-24,2022-04-15,No,NULL,NULL,1077,1191
NCR-25352,Requirement: Hole shall be drilled on Forged block part no. 3305 as per drawing.  Deviation: Five nos of holes are drilled on wrong side of forged block w.r.t drawing. This resulted in unwanted holes of depth ranging from 14.58 mm to 15.39 mm on one side of forged block.  Evidence: Photo and report are attached. ,NULL,Gasifier,Minor,Closed,Yes,1. Make a smooth conical shape profile as per proposed drawing on Evaporator Support Part No : 3305.  2. Weld build up of the evaporator support (Part No : 3305) as per  weld repair plan (Reference No : P4-S040689-01) approved by TPI.   ,Vendor,Wrong Interpretation by Operator of M/s Precihole Machine Tools Pvt Ltd (Vendor),Vendor Mistake,"Component, Machine Setting & Program will be re-verified by Vendor's Supervisor before start of machining.",Management,Repair (Rectify Partially),No,Acceptable.,Verified and completed. ,NULL,2022-03-16,2022-04-18,2022-04-27,2022-04-19,No,NULL,NULL,678,2190
NCR-25353,Requirement: Hole to hole horizontal distance in forged block is required 50 +/- 0.3 mm for part nos 106 & 107 as per drawing.  Deviation: Actual hole to hole distance observed as 53.8mm  to 54 mm for total 32 quantities (16 nos of Part 106 & 16 nos of Part 107).  Objective evidence- Inspection report and schematic attached  ,NULL,Gasifier,Minor,Closed,No,NA,Design/Drawing,One Dimension is not correct in drawings provided by ARVOS and Vendor did not raise the query after dimension discrepancy in their Model.,Drawing Error,"1) Vendor has to sensitize his team & workmen relates this kind of deviation and If there is any query related to drawing/revision of drawing, vendor will immediately seek confirmation/approval from L&T.   2) L&T to inform ARVOS of the deviation and inform that all the machining dimensions needs to be available up to at least 1 decimal.  3) Vendor has to ensure stage inspection is carried out to check if the machined component as per drawing or not.",Management,Rework (Complete Rectification),No,The parts are to be replaced with newly machined forged blocks.   Taken up with ARVOS for the ensuring precision upto 1 decimal point for the machined components.,"Blocks are rejected, New Blocks prepared with additional material. ",NULL,2022-07-11,2022-07-11,2022-07-11,2022-07-11,No,NULL,NULL,667,1678
NCR-25354,Plate No 231561.11 Size 5940 x 2005 x 34+3 thk  Plate No 231579.11 Size 5940 x 2160 x 34+3 thk  Local area under thickness on plate surface (clad thickness 2.7 - 2.88 mm against requirement of 3 mm (min)).  Refer attached mill NCR for details.  ,NULL,Other,Minor,Closed,No,Local under-thickness area to be trimmed during cutting as per PCL,Vendor,"Under-thickness observed due to incrustations (foreign particles, crusts) on clad surface. During grinding process to remove the incrustations, inadvertently under thickness happened and reported by mill during final inspection.",Vendor Mistake,Mill will provide training to operators and awareness campaign,Management,Accept as it is,No,"Rectification proposal to trim the under thickness portion of the plate, is acceptable.",Under thick portion of the plate is removed. NCR Closed.,NULL,2022-03-19,2022-03-19,2022-11-16,2022-03-21,No,NULL,NULL,19,68
NCR-25356,"Requirement :- RHS Channel Shell girth flange  P.C.D .  3762mm (tol.+0.8/-0.8) as per document no. 21921PSF1 Rev. issue 6  Actual observation :- After all fabrication work , RHS Channel Shell girth flange P.C.D observed  (3754mm-3770mm),     Evidence :-attached annexure-1 ",NULL,Exchanger,Minor,Closed,Yes,Rectification following guide-lines from planning to be followed and orality need to be corrected to achieve dimensions for machining  feasibility.,Other,(1) Necessary precautions for distortion control neither envisaged nor exercised during fabrication.  (2) Intermittent checking and monitoring not done during fabrication ( especially partition plate welding and assembly).,Dimension Control Fabrication,(1) Distortion control shall be achieved by following planning procedure.  (2) Channel Flange shall be planned with a provision of extra machining allowances on OD and final bolt hole  size shall be drilled in final assembly stage of the channel.,Management,Repair (Rectify Partially),No,Rectification proposal to control dimensions for machining as per attached planning procedure is acceptable. The final dimensions of PCD shall be maintained within tolerance as per drawing. ,Rectification carried out as per  design comments. Dimension checked and found satisfactory.,NULL,2022-03-19,2022-03-30,2022-04-11,2022-04-04,No,NULL,NULL,547,570
S020014D-NCR-007,"  Project No. S020014D/SA12  Item No. 12030F (FIM-BMTC of Feed water nozzle).  Stage: Mechanical/Impact testing. Opn. No. 20 to 40 of LTFPS No. 1204.  Requirement: Charpy “V” notch Impact test: Individual 34 Joules minimum at -15° test temperature.  Observation: Absorbed energy: 44, 32, 77 Joules of IT-1 to IT-3 respectively.  1st Re-test Observation: Absorbed energy: 91, 35, 23 Joules of IT-1 to IT-3 respectively.  2nd Re-test Observation: Absorbed energy: 84, 105, 89 Joules of IT-1 to IT-3 respectively.  Objective evidence: MT/C3977/21, Dtd. 25.05.2021.  ",NULL,Nozzle Forging,Minor,Closed,No,To be accepted as it is,Materials,"1.) Material being Free Issue Materrial (FIM), exact root cause cannot be ascertained",Base Material Defect,"As it is FIM, no corrective action planned",Management,Accept as it is,Yes,Deviation accepted as it is,1) Rectification Not Applicable.  2) Deviation covered under NPCIL NCR No. C02180002-NCR-112.,NULL,2022-03-25,2022-04-21,2023-02-27,2022-06-02,No,NULL,NULL,1,22
NCR-25358,"Project No.: S020014A-D  Item no.: 15020 / Sr. no. 194 to 209, 211 to 213, 215 to 217, 220, 222 to 225, 227, 230 to 235, 237 to 240, 245 to 247, 249 to 251, 253 to 254, 256 to 258, 261 to 264 (53 Qty.)  Stage: PMI of Cap-1 (Item No. 15020) after machining,  LTFPS no.: 15020 (R1), Opn. No.: 50     Requirement:  Required range of Nb (Niobium) is 0.6 to 1.00 % (10 x C to 1.00 %) w.r.t to CMTR No. PL/2000/2020 dated 19.10.2020, where carbon (C) content is 0.06%.    Observation:  Nb (Niobium) content has been observed from 0.31 % to 0.38% during PMI of It. 15020.    Objective evidence:  Refer attached inspection report no.: 15020/50/PMI/02 dated 25.05.2021.",PMI,Steam Generator,Major,Closed,No,Items not meeting requirement shall be rejected.   New items shall be identified against rejection.  ,Vendor,"- Inadvertent use of 25mm Dia Round Bar (grade SS1.4550) from M/s Supreme instead of 25mm Dia Round bar (grade SS1.4550) from M/s Star Wire.  - Both Round Bar’s are acceptable with respect to chemical analysis & Duly cleared by L&T QC & NPC, however since %Nb is a function of %C, 53 Items were rejected as MCR indicated round bar of M/s Star wire (%C – 0.06) & Screw cap were machined from round bar of M/s Supreme (%C – 0.028)    ",Traceability (Material & UID),52 Nos made from other cleared round bar shall be rejected. ,Management,Reject,No,Items not meeting requirement shall be rejected and new items shall be identified.,New items identified against rejected items. Refer report no. 15020/20/MI/04 dated 29.06.2021.,Yes,2022-05-01,2022-06-17,2022-07-02,2022-06-17,No,NULL,NULL,183,184
NCR-25359,"Project No: S020014C  Stage: Welding of temporary attachment on Flange-5 (It. 24009) of SA-24 Upper Shroud assembly.  Requirement: Required preheat temperature shall be 150°C Min. for temporary attachment welding as per WPP Sht. 6 (R0) of LTFPS 1100, R7.  Observation: Preheat temperature has been maintained during welding as 100°C as per attached WDS (Weld Data Sheet)",In-process,Assembly,Minor,Closed,No,Welding of this temporary lug will be removed & further flange machining up to ~4-5 mm will be done hence this weld joint will not be the part of final job.  ,Vendor,"Being a temporary attachment weld with no seam number, generic LTFPS-1100 having WPP “Welding of temporary attachments” is applicable specifying Pre-heat as 150° C Min considering variety of joints with higher thickness which was missed.     As all joints of SA-24 shroud are having Pre-heat requirement as 100° C Min, It was presumed that this temporary attachment is also having same pre-heat requirement.   ",Temporary Attachment,Welding of this temporary lug will be removed with flange machining up to ~5mm & will not be the part of final job.  ,Management,Accept as it is,No,Accept as it is based on Welding Engg/Metallurgy comments.,"1) Temporary attachments are removed from Flange-5 followed by LPE of affected area and found satisfactory. Refer inspection report no. 1100/50/LPE/01, dated 14.06.2021.  2) Machining of Flange-5 will be done as per LTFPS-2405, Opn. no. 1470.",NULL,2022-03-25,2022-04-08,2022-10-15,2022-04-11,No,NULL,NULL,238,262
S040766-NCR-001,"Requirement : As per customer requirement received in later stage of project execution, all nozzle (N1 to N10 & M1) gasket face shall be Raised Face.  Remark : As per contract & project specifications, flange facing shall be RTJ for all nozzles. However, during advance stage of project, client has changed flange facing from RTJ to RF. By this time, all nozzles & flanges had manufactured & were in transit.  Deviation : All nozzle forgings procured with RTJ gasket face.   Objective evidence : Refer attached procurement drawing showing RTJ gasket face for nozzle.    ",NULL,Nozzle Forging,Minor,Closed,Yes,Rectification as per DCC comments,Other,Requiremet of gasket face changed by customer in later stage of project execttion. ,Others,1-Corrective action not applicable.  Change note is submitted & approval to be expedited.  2-Revised data sheet to be received from customer.  ,Management,Repair (Rectify Partially),Yes,Change facing of flanges/nozzle flanges as per Annexure-B & Annexure-C to S040766-NCR-001 as applicable.,NCR Closed.,NULL,2022-03-23,2022-03-26,2022-05-16,2022-04-05,No,NULL,NULL,1,94
NCR-25361,"Requirement : (1)  As per note F3 of LTHE-RORR-04260060 R2 , "" Raised face of flange shall have serrated spiral finish 3.2 to 6.3 Micro meter (125-250 Micro - Inches) "".(2) No Welding / Mechanical work shall be carried out on vessel after hydrotest.  Deviation : Unauthorized correction work is carried out on nozzle gasket face of Nozzle N9.( Hydrotest & Refractory completed vessel)  Objective Evidence : Please refer attached Annexure 1, showing correction work carried out on nozzle.   ",In process,Other,Minor,Closed,Yes,Correction Require  Bolt face thickness is 24.7mm  Require thickness id 23mm  Require R.F. Height is 2mm    Machining as per design comment.,Workmanship,"Due to improper instruction, misunderstanding & lack of supervision grinder used paper wheel instead of wire wheel & gasket face got damaged.  Grinder only spent 1.5 months in H-PC3 and was not aware about importance of Gasket Face.",Human Error,"Impart basic awareness training to all grinders, welders, and rigger in H-PC3A by 31-Jul-21.",Workman,Repair (Rectify Partially),No,"Refer following comments  1) Carry out the machining of flange face/ bolt face to remove the irregularities/damage  2) After machining, carry out the MT/PT as per ITP   3) Post-machining, ensure dimension meets the fabrication drawing requirement. Race face height shall be 1.6 mm minimum.",Rectification done as per design comments.Found satisfactory. ,NULL,2022-05-31,2022-06-16,2022-06-20,2022-06-20,No,NULL,NULL,376,409
NCR-25362,Stage - Dimension inspection    Item Description - Lugs for Bottom D'end(12 Nos)    Requirement  - Lug length from W.P shall be 456 mm (As per DCR - S010410-DCR-015)    Observation - Lug length from W.P. Observed 367 to 372 mm,Dimension Inspection of Bottom D'end ,Other,Minor,Closed,Yes,New parts to be cut and re weld,Workmanship,• Lack of system adherence for DCR compliance.,System Violation,"01 DCR shall be marked in Latest drawing after DCR is released in system.  02 Prior to fabrication, Related DCR shall be checked against applicable Drawing  03 Training and Sharing of incident to Shop supervisors to avoid recurrence.  04 DCR Intimation mail list to be rechecked and ensured covering of all concerns against the Project  ",Management,Reject,No,Drawing dimension shall be met post rectification,Corrected as per proposed rectification and found acceptable.,NULL,2022-03-26,2022-03-30,2022-09-06,2022-03-30,No,NULL,NULL,197,242
NCR-25364,"Project No.: S020014C  Sub-Assembly:  Separator Deck Plate (SA25)  Stage: LPE of Seam No. AW2509 after Heat Treatment  Deviation Description : Un-acceptable 1 no. of rounded indication of dia. 6mm observed in Liquid Penetrant Examination on Seam no. AW2509 (Separator Deck Plate # Rib-9) after Heat Treatment against maximum permissible of dia. 1.5 mm.  Objective Evidence: Report No. 2501/1140/LPE/01, Dtd. 01.06.2021  ",NULL,Steam Generator,Major,Closed,Yes,LPE indication to be removed by grinding followed by LPE & Dimension Inspection.,Other,LPE indication may have appeared due to removal of very fine layer of material during cleaning (wire-wheeling) after PWHT.,Others,"As per past NCR's learning, LPE has been carried out for all weld joints of SDP just prior to PWHT. This case to be considered as ""One Off the Case"".",Management,Rework (Complete Rectification),No,"1. Remove LPE indication by grinding,  2. Followed by LPE and dimensional inspection,  3. After rectification, all drawing requirements shall be met",Repair work completed as per re-work LTFPS-1100.,Yes,2022-03-29,2022-04-22,2022-05-04,2022-05-03,No,NULL,NULL,25,32
